Player;Team;Position;16/17 Cap Hit;17/18 Cap Hit;16/17 Salary;17/18 Salary;18/19 Salary;19/20 Salary;20/21 Salary
Kane, Patrick;CHI;Right;10.500;10.500;13.800;13.800;12.000;9.800;7.000
Toews, Jonathan;CHI;Center;10.500;10.500;13.800;13.800;12.000;9.800;7.000
Kopitar, Anze;LAK;Center;10.000;10.000;14.000;13.000;12.000;11.000;8.000
Ovechkin, Alex;WAS;Left;9.538;9.538;10.000;10.000;10.000;10.000;10.000
Malkin, Evgeni;PIT;Center;9.500;9.500;9.500;9.500;9.500;9.500;9.500
Subban, P.K.;NAS;Defence;9.000;9.000;11.000;11.000;10.000;10.000;8.000
Crosby, Sidney;PIT;Center;8.700;8.700;10.900;10.900;10.000;9.000;9.600
Perry, Corey;ANA;Right;8.625;8.625;10.000;10.000;9.000;8.000;7.000
Lundqvist, Henrik;NYR;Goaltender;8.500;8.500;9.500;9.000;7.500;7.000;5.500
Stamkos, Steven;TBL;Center;8.500;8.500;9.500;9.500;9.500;9.500;9.500
Giroux, Claude;PHI;Center;8.275;8.275;9.000;9.000;9.000;8.000;7.200
Getzlaf, Ryan;ANA;Center;8.250;8.250;9.250;9.025;8.950;8.275;6.000
Voracek, Jakub;PHI;Right;8.250;8.250;10.000;10.000;9.250;9.250;6.250
Weber, Shea;MTL;Defence;7.857;7.857;12.000;12.000;6.000;6.000;6.000
Nash, Rick;NYR;Left;7.800;7.800;8.000;8.200;UFA;;
Byfuglien, Dustin;WPG;Defence;7.600;7.600;8.000;8.000;8.000;8.000;6.000
Suter, Ryan;MIN;Defence;7.538;7.538;9.000;9.000;9.000;9.000;8.000
Parise, Zach;MIN;Left;7.538;7.538;9.000;9.000;9.000;9.000;8.000
O'Reilly, Ryan;BUF;Center;7.500;7.500;11.000;9.000;8.500;6.000;6.000
Datsyuk, Pavel;ARI;Center;7.500;0.000;5.500;UFA;;;
Spezza, Jason;DAL;Center;7.500;7.500;7.500;7.500;7.500;UFA;
Tarasenko, Vladimir;STL;Right;7.500;7.500;8.000;7.000;7.000;9.500;5.500
Bobrovsky, Sergei;CLB;Goaltender;7.425;7.425;8.500;6.500;6.200;UFA;
Krejci, David;BOS;Center;7.250;7.250;7.250;7.500;7.500;7.000;7.000
Letang, Kris;PIT;Defence;7.250;7.250;7.250;7.250;7.250;7.250;7.250
Ryan, Bobby;OTT;Right;7.250;7.250;7.000;7.250;7.500;7.500;7.500
Sedin, Daniel;VAN;Left;7.000;7.000;7.000;7.000;UFA;;
Sedin, Henrik;VAN;Center;7.000;7.000;7.000;7.000;UFA;;
Stastny, Paul;STL;Center;7.000;7.000;7.000;7.500;UFA;;
Rinne, Pekka;NAS;Goaltender;7.000;7.000;7.000;7.000;7.000;UFA;
Doughty, Drew;LAK;Defence;7.000;7.000;7.450;7.600;7.650;UFA;
Rask, Tuukka;BOS;Goaltender;7.000;7.000;7.500;7.500;7.000;6.500;6.500
Phaneuf, Dion;OTT;Defence;7.000;7.000;7.500;7.000;6.500;6.500;5.500
Chara, Zdeno;BOS;Defence;6.917;6.917;5.000;4.000;UFA;;
Kesler, Ryan;ANA;Center;6.875;6.875;7.875;6.675;6.675;6.675;6.675
Bergeron, Patrice;BOS;Center;6.875;6.875;8.750;8.750;6.875;4.375;4.375
Seabrook, Brent;CHI;Defence;6.875;6.875;9.000;9.000;9.000;7.500;5.000
Kessel, Phil;PIT;Right;6.800;6.800;9.000;9.000;7.000;7.000;6.000
Koivu, Mikko;MIN;Center;6.750;6.750;5.400;9.180;UFA;;
Thornton, Joe;SJS;Center;6.750;0.000;6.750;UFA;;;
Giordano, Mark;CGY;Defence;6.750;6.750;6.750;6.750;6.750;6.750;6.750
Gaudreau, Johnny;CGY;Left;6.750;6.750;6.750;6.750;6.750;6.750;6.750
Backstrom, Nicklas;WAS;Center;6.700;6.700;7.000;7.500;7.500;8.000;UFA
Marleau, Patrick;SJS;Center;6.667;0.000;6.500;UFA;;;
Price, Carey;MTL;Goaltender;6.500;6.500;7.000;7.000;UFA;;
Pietrangelo, Alex;STL;Defence;6.500;6.500;7.000;7.000;7.000;7.500;UFA
Karlsson, Erik;OTT;Defence;6.500;6.500;7.000;7.000;7.500;UFA;
Stepan, Derek;NYR;Center;6.500;6.500;8.000;7.000;6.000;5.000;5.000
Monahan, Sean;CGY;Center;6.375;6.375;6.500;6.500;6.750;6.750;6.000
Yandle, Keith;FLA;Defence;6.350;6.350;7.500;7.500;7.500;5.750;5.750
MacKinnon, Nathan;COL;Center;6.300;6.300;5.000;5.750;6.750;6.750;6.150
Scheifele, Mark;WPG;Center;6.125;6.125;5.000;6.750;6.750;6.750;5.500
Holtby, Braden;WAS;Goaltender;6.100;6.100;7.000;7.000;5.000;5.000;UFA
Zetterberg, Henrik;DET;Left;6.083;6.083;7.500;7.000;3.350;1.000;1.000
Crawford, Corey;CHI;Goaltender;6.000;6.000;6.000;6.000;6.000;5.000;UFA
Plekanec, Tomas;MTL;Center;6.000;6.000;7.000;5.000;UFA;;
Lucic, Milan;EDM;Left;6.000;6.000;8.000;8.000;7.000;6.000;4.000
